bit,field,zero_bit_fraction,median_delta,p99_delta,max_finite_delta,amplified_fraction,non_finite_fraction,catastrophic_fraction
0,mantissa,0.49999646784563084,6.103515625e-05,0.000244140625,1.0,0.0,0.0,0.0
1,mantissa,0.5014211203091694,0.0001220703125,0.00048828125,2.0,0.0,0.0,0.0
2,mantissa,0.5042692836115681,0.000244140625,0.0009765625,4.0,0.0,0.0,0.0
3,mantissa,0.5097756693742226,0.00048828125,0.001953125,8.0,0.0,0.0,0.0
4,mantissa,0.5210181058273446,0.0009765625,0.00390625,16.0,0.0,0.0,0.0
5,mantissa,0.5432016910262925,0.001953125,0.0078125,32.0,0.0,0.0,0.0
6,mantissa,0.5838605102404867,0.00390625,0.015625,64.0,0.0,0.0,0.0
7,exponent,0.4865670732189165,0.00927734375,0.050048828125,214.0,0.4865670732189165,0.0,0.0
8,exponent,0.6238262883809359,0.02984619140625,0.0904541015625,369.0,0.6238262883809359,0.0,0.0
9,exponent,0.6600525068814869,0.1702880859375,0.802001953125,476.25,0.6600525068814869,0.0,0.0
10,exponent,0.36072377288139723,0.026264190673828125,1.929931640625,54570.0,0.36072377288139723,0.0,0.0
11,exponent,0.0015076510066635903,0.011352365836501122,0.05541907623410225,14024490.0,0.0015076510066635903,0.0,0.0015076510066635903
12,exponent,2.011809872498174e-05,0.011352539059856781,0.05371093748749445,919123001130.0,2.011809872498174e-05,0.0,2.011809872498174e-05
13,exponent,2.008166389481274e-05,0.0113525390625,0.0537109375,3.947603231773844e+21,2.008166389481274e-05,0.0,2.008166389481274e-05
14,exponent,0.9999799183361052,3.863068862749912e+36,1.8276884942042593e+37,3.3895313892515355e+38,0.9999260069323984,5.432635593920766e-05,0.9999799183361052
15,sign,0.5002295738407376,0.022705078125,0.107421875,428.0,0.0,0.0,0.0
