bit,field,zero_bit_fraction,median_delta,p99_delta,max_finite_delta,amplified_fraction,non_finite_fraction,catastrophic_fraction
0,mantissa,0.49979231134217555,6.103515625e-05,0.00048828125,0.25,0.0,0.0,0.0
1,mantissa,0.500939938095161,0.0001220703125,0.0009765625,0.5,0.0,0.0,0.0
2,mantissa,0.5035464139576857,0.000244140625,0.001953125,1.0,0.0,0.0,0.0
3,mantissa,0.5089975241906803,0.00048828125,0.00390625,2.0,0.0,0.0,0.0
4,mantissa,0.5200735618214832,0.0009765625,0.0078125,4.0,0.0,0.0,0.0
5,mantissa,0.5419406334553063,0.001953125,0.015625,8.0,0.0,0.0,0.0
6,mantissa,0.5829902067668258,0.00390625,0.03125,16.0,0.0,0.0,0.0
7,exponent,0.4957717288008044,0.01031494140625,0.0556640625,44.0,0.4957717288008044,0.0,0.0
8,exponent,0.6028491975887632,0.0325927734375,0.0911865234375,132.0,0.6028491975887632,0.0,0.0
9,exponent,0.7224016630211701,0.21514892578125,0.9521484375,435.0,0.7224016630211701,0.0,0.0
10,exponent,0.2968871820730036,0.028088092803955078,1.91436767578125,11220.0,0.2968871820730036,0.0,0.0
11,exponent,0.0014068414875999552,0.01440407708287239,0.06494041532278061,2883540.0,0.0014068414875999552,0.0,0.0014068414875999552
12,exponent,4.9762980146207234e-06,0.01434326171541045,0.06347656248522071,188978560980.0,4.9762980146207234e-06,0.0,4.9762980146207234e-06
13,exponent,4.954172295317069e-06,0.01434326171875,0.0634765625,8.116567392432203e+20,4.954172295317069e-06,0.0,4.954172295317069e-06
14,exponent,0.9999950458277047,4.880759047022738e+36,2.1599954931504883e+37,3.3895313892515355e+38,0.9999839178339129,1.1259505089683128e-05,0.9999950458277047
15,sign,0.5000897531046571,0.0286865234375,0.126953125,88.0,0.0,0.0,0.0
