policy,flips,seed,perplexity,ratio_to_baseline,top1_agreement,damage_class
random,1,0,16.097929584194038,0.9995198667573121,0.9937736540104993,intact
random,1,1,16.10527409661538,0.9999758872684207,0.9992674887071176,intact
random,1,2,16.105662448130897,1.0,1.0,intact
random,1,3,16.105663648242803,1.000000074514905,1.0,intact
random,1,4,16.105596442113892,0.9999959016887869,0.9998779147845196,intact
random,10,0,151935.96068369705,9433.698314056595,0.0,uniform_collapse
random,10,1,16.10594951744602,1.000017824123413,0.9997558295690392,intact
random,10,2,151935.96068369705,9433.698314056595,0.0,uniform_collapse
random,10,3,10523.899771137856,653.4285568836805,0.13636918569161274,partial
random,10,4,16.105715253139277,1.0000032786610642,0.9978024661213527,intact
random,100,0,151935.96068369705,9433.698314056595,0.0,uniform_collapse
random,100,1,151935.96068369705,9433.698314056595,0.0,uniform_collapse
random,100,2,151935.96068369705,9433.698314056595,0.0,uniform_collapse
random,100,3,151935.96068369705,9433.698314056595,0.0,uniform_collapse
random,100,4,151935.96068369705,9433.698314056595,0.0,uniform_collapse
random,1000,0,151935.96068369705,9433.698314056595,0.0,uniform_collapse
random,1000,1,151935.96068369705,9433.698314056595,0.0,uniform_collapse
random,1000,2,151935.96068369705,9433.698314056595,0.0,uniform_collapse
random,1000,3,151935.96068369705,9433.698314056595,0.0,uniform_collapse
random,1000,4,151935.96068369705,9433.698314056595,0.0,uniform_collapse
random,10000,0,151935.96068369705,9433.698314056595,0.0,uniform_collapse
random,10000,1,151935.96068369705,9433.698314056595,0.0,uniform_collapse
random,10000,2,151935.96068369705,9433.698314056595,0.0,uniform_collapse
random,10000,3,151935.96068369705,9433.698314056595,0.0,uniform_collapse
random,10000,4,151935.96068369705,9433.698314056595,0.0,uniform_collapse
targeted,1,-1,nan,nan,0.0,numeric_collapse
targeted,2,-1,nan,nan,0.0,numeric_collapse
targeted,5,-1,nan,nan,0.0,numeric_collapse
targeted,10,-1,nan,nan,0.0,numeric_collapse
baseline,0,-1,16.105662448130897,1.0,1.0,intact
