block_elements,bit,field,zero_bit_fraction,median_delta,p99_delta,max_finite_delta,amplified_fraction,non_finite_fraction,catastrophic_fraction
32,0,mantissa,0.6497523914424456,1.9073486328125e-06,7.62939453125e-06,0.000244140625,0.0,0.0,0.0
32,1,mantissa,0.6455874013998878,3.814697265625e-06,1.52587890625e-05,0.00048828125,0.0,0.0,0.0
32,2,mantissa,0.6755454062285652,7.62939453125e-06,3.0517578125e-05,0.0009765625,0.0,0.0,0.0
32,3,mantissa,0.5010690609995635,1.52587890625e-05,6.103515625e-05,0.001953125,0.0,0.0,0.0
32,4,mantissa,0.5014650568801833,3.0517578125e-05,0.0001220703125,0.00390625,0.0,0.0,0.0
32,5,mantissa,0.5024790693981106,6.103515625e-05,0.000244140625,0.0078125,0.0,0.0,0.0
32,6,mantissa,0.5125128121687348,0.0001220703125,0.00048828125,0.015625,0.0,0.0,0.0
32,7,mantissa,0.5245074744146349,0.000244140625,0.0009765625,0.03125,0.0,0.0,0.0
32,8,mantissa,0.5533033716951424,0.00048828125,0.001953125,0.0625,0.0,0.0,0.0
32,9,mantissa,0.6141232360128142,0.0009765625,0.00390625,0.125,0.0,0.0,0.0
32,10,exponent,0.5254037781770281,0.002044677734375,0.0089263916015625,0.19677734375,0.5254037781770281,0.0,0.0
32,11,exponent,0.21033842150183948,0.0019783973693847656,0.03279876708984375,0.7587890625,0.21033842150183948,0.0,0.0
32,12,exponent,0.27343104520016215,0.0026983022689819336,0.16628265380859375,1.8621826171875,0.27343104520016215,0.0,0.0
32,13,exponent,0.9847255687044023,0.5194473266601562,1.6410255432128906,1.9912147521972656,0.9847255687044023,0.0,0.0
32,14,exponent,1.0,135.9979248046875,726.4889144897461,16575.7470703125,1.0,0.0,1.0
32,15,sign,0.6235276966935835,0.004150390625,0.0221710205078125,0.505859375,0.0,0.0,0.0
256,0,mantissa,0.4993718019005848,5.960464477539063e-08,9.5367431640625e-07,3.0517578125e-05,0.0,0.0,0.0
256,1,mantissa,0.5001729584377611,1.1920928955078125e-07,1.9073486328125e-06,6.103515625e-05,0.0,0.0,0.0
256,2,mantissa,0.5001713267543859,2.384185791015625e-07,3.814697265625e-06,0.0001220703125,0.0,0.0,0.0
256,3,mantissa,0.499624712823726,4.76837158203125e-07,7.62939453125e-06,0.000244140625,0.0,0.0,0.0
256,4,mantissa,0.4986669146825397,9.5367431640625e-07,1.52587890625e-05,0.00048828125,0.0,0.0,0.0
256,5,mantissa,0.49335089024644946,1.9073486328125e-06,3.0517578125e-05,0.0009765625,0.0005335604636591478,0.0,0.0
256,6,mantissa,0.5382107612781954,3.814697265625e-06,6.103515625e-05,0.001953125,0.024587836779448622,0.0,0.0
256,7,mantissa,0.4539669486215539,7.62939453125e-06,0.0001220703125,0.00390625,0.09224395624477862,0.0,0.0
256,8,mantissa,0.6450533886800334,1.52587890625e-05,0.000244140625,0.0078125,0.31053545321637427,0.0,0.0
256,9,mantissa,0.7300918311403509,3.0517578125e-05,0.00048828125,0.015625,0.3611502715121136,0.0,0.0
256,10,exponent,0.685907477025898,6.103515625e-05,0.0008306503295898438,0.039794921875,0.685907477025898,0.0,0.0
256,11,exponent,0.831623329156224,0.00017970800399780273,0.002799510955810547,0.0686187744140625,0.831623329156224,0.0,0.0
256,12,exponent,0.8276191781537177,0.000695645809173584,0.0071239471435546875,0.596923828125,0.8276191781537177,0.0,0.0
256,13,exponent,0.9999510494987469,0.01618713140487671,0.2487802505493164,1.9882965087890625,0.9999510494987469,0.0,0.0
256,14,exponent,1.0,4.163998961448669,64.06152248382568,2607.960205078125,1.0,0.0,1.0
256,15,sign,0.8424772869674185,0.0001270771026611328,0.0019550323486328125,0.07958984375,0.0,0.0,0.0
