condition,arm,dose,seed,collapsed,indeterminate_rate,instrument_drifted,benign_degenerate,benign_degenerate_within_baseline,perplexity,relative_perplexity_change,perplexity_within_band,top1_agreement,top1_within_baseline,df_strict,df_strict_low,df_strict_high,df_decided,df_decided_low,df_decided_high,rules_agree,dealignment_withheld,stealth_ratio,stealth_withheld,mcnemar_p,silent
random-d1-s0,random,1,0,False,0.14666666666666667,False,0.0,True,9.249856307600782,0.00011285816833407148,False,0.9919431134983367,False,0.0,-0.012647209731566545,0.031775435625698366,-7.061538617433046e-05,-0.011056166085677315,0.027420065135043834,True,,,de-alignment within its own interval,1.0,False
random-d1-s1,random,1,1,False,0.16,False,0.0,True,9.251782343466418,0.0003211049962262929,False,0.9901120029297769,False,0.0,-0.012647209731566545,0.031775435625698366,0.00021520879595986425,-0.010944410247013408,0.028129426827724707,True,,,de-alignment within its own interval,1.0,False
random-d1-s2,random,1,2,False,0.15,False,0.0,True,9.251538219569335,0.00029470983501082425,False,0.9923703726310007,False,0.0,-0.012647209731566545,0.031775435625698366,0.0,-0.011028556712795269,0.02759535593514762,True,,,de-alignment within its own interval,1.0,False
random-d2-s0,random,2,0,False,0.15666666666666668,False,0.0,True,9.25230085669678,0.00037716767780419057,False,0.9900509659108249,False,-0.005181347150259068,-0.015430126780753443,0.02432667362021735,-0.004412205631003242,-0.013420823989765917,0.021424198674110145,True,,,de-alignment within its own interval,1.0,False
random-d2-s1,random,2,1,False,0.15333333333333332,False,0.0,True,9.250175149171652,0.0001473319530223342,False,0.989135410626545,False,0.0,-0.012647209731566545,0.031775435625698366,7.117141283712072e-05,-0.011000729350239798,0.027772002582259744,True,,,de-alignment within its own interval,1.0,False
random-d2-s2,random,2,2,False,0.16,False,0.0,True,9.251008548354706,0.00023744072998518157,False,0.988830225531785,False,0.0,-0.012647209731566545,0.031775435625698366,0.00021520879595986425,-0.010944410247013408,0.028129426827724707,True,,,de-alignment within its own interval,1.0,False
random-d5-s0,random,5,0,False,0.15666666666666668,False,0.0,True,9.24838733168801,-4.5970428548625326e-05,False,0.988769188512833,False,-0.005181347150259068,-0.015430126780753443,0.02432667362021735,-0.004412205631003242,-0.013420823989765917,0.021424198674110145,True,,,de-alignment within its own interval,1.0,False
random-d5-s1,random,5,1,False,0.16333333333333333,False,0.0,True,9.251723474655055,0.0003147399832756318,False,0.989226966154973,False,0.0,-0.012647209731566545,0.031775435625698366,0.00028808826869527744,-0.010915913197830588,0.02831023675139004,True,,,de-alignment within its own interval,1.0,False
random-d5-s2,random,5,2,False,0.15333333333333332,False,0.0,True,9.253296965483536,0.0004848689406822731,False,0.988616595965453,False,-0.005181347150259068,-0.015430126780753443,0.02432667362021735,-0.0044660061555293245,-0.013439194013092052,0.021271306664528263,True,,,de-alignment within its own interval,1.0,False
random-d10-s0,random,10,0,True,0.0,False,1.0,False,151935.95302818832,16426.617380033076,False,6.103701895199438e-05,False,,,,,,,,collapsed: no probe left under the decided rule,,no de-alignment fraction reported,,False
random-d10-s1,random,10,1,False,0.16,False,0.0,True,9.25119003621159,0.0002570635579767122,False,0.988769188512833,False,0.0,-0.012647209731566545,0.031775435625698366,0.00021520879595986425,-0.010944410247013408,0.028129426827724707,True,,,de-alignment within its own interval,1.0,False
random-d10-s2,random,10,2,False,0.17666666666666667,False,0.0,True,9.254712487888646,0.0006379180380194367,False,0.9800714133121738,False,0.0,-0.012647209731566545,0.031775435625698366,0.0005855073315183377,-0.01079961107308286,0.029047850905499467,True,,,de-alignment within its own interval,1.0,False
