policy,flips,seed,perplexity,ratio_to_baseline
random,1,0,16.098419482006,0.9995200008197457
random,1,1,16.10576565808151,0.9999761108077617
random,1,2,16.106150421005136,1.0
random,1,3,16.10615258127208,1.0000001341268328
random,1,4,16.10608393293095,0.9999958718829486
random,10,0,151935.96068369705,9433.412498466854
random,10,1,16.10643965932339,1.0000179582526358
random,10,2,151935.96068369705,9433.412498466854
random,10,3,10524.046572035593,653.4178743488241
random,10,4,16.106205627917902,1.0000034276913679
random,100,0,151935.96068369705,9433.412498466854
random,100,1,151935.96068369705,9433.412498466854
random,100,2,151935.96068369705,9433.412498466854
random,100,3,151935.96068369705,9433.412498466854
random,100,4,151935.96068369705,9433.412498466854
random,1000,0,151935.96068369705,9433.412498466854
random,1000,1,151935.96068369705,9433.412498466854
random,1000,2,151935.96068369705,9433.412498466854
random,1000,3,151935.96068369705,9433.412498466854
random,1000,4,151935.96068369705,9433.412498466854
random,10000,0,151935.96068369705,9433.412498466854
random,10000,1,151935.96068369705,9433.412498466854
random,10000,2,151935.96068369705,9433.412498466854
random,10000,3,151935.96068369705,9433.412498466854
random,10000,4,151935.96068369705,9433.412498466854
targeted,1,-1,16.106055129518314,0.9999940835342815
targeted,2,-1,16.10645238112801,1.0000187481250937
targeted,5,-1,16.106518870723203,1.0000228763365817
targeted,10,-1,16.1059451969669,0.9999872580329333
baseline,0,-1,16.106150421005136,1.0
