policy,flips,seed,perplexity,ratio_to_baseline,top1_agreement
random,1,0,16.098419482006,0.9995200008197457,0.9937736540104993
random,1,1,16.10576565808151,0.9999761108077617,0.9992674887071176
random,1,2,16.106150421005136,1.0,1.0
random,1,3,16.10615258127208,1.0000001341268328,1.0
random,1,4,16.10608393293095,0.9999958718829486,0.9998779147845196
random,10,0,151935.96068369705,9433.412498466854,0.0
random,10,1,16.10643965932339,1.0000179582526358,0.9997558295690392
random,10,2,151935.96068369705,9433.412498466854,0.0
random,10,3,10524.046572035593,653.4178743488241,0.13636918569161274
random,10,4,16.106205627917902,1.0000034276913679,0.9978024661213527
random,100,0,151935.96068369705,9433.412498466854,0.0
random,100,1,151935.96068369705,9433.412498466854,0.0
random,100,2,151935.96068369705,9433.412498466854,0.0
random,100,3,151935.96068369705,9433.412498466854,0.0
random,100,4,151935.96068369705,9433.412498466854,0.0
random,1000,0,151935.96068369705,9433.412498466854,0.0
random,1000,1,151935.96068369705,9433.412498466854,0.0
random,1000,2,151935.96068369705,9433.412498466854,0.0
random,1000,3,151935.96068369705,9433.412498466854,0.0
random,1000,4,151935.96068369705,9433.412498466854,0.0
random,10000,0,151935.96068369705,9433.412498466854,0.0
random,10000,1,151935.96068369705,9433.412498466854,0.0
random,10000,2,151935.96068369705,9433.412498466854,0.0
random,10000,3,151935.96068369705,9433.412498466854,0.0
random,10000,4,151935.96068369705,9433.412498466854,0.0
targeted,1,-1,nan,nan,0.0
targeted,2,-1,nan,nan,0.0
targeted,5,-1,nan,nan,0.0
targeted,10,-1,nan,nan,0.0
baseline,0,-1,16.106150421005136,1.0,1.0
